indice,fecha,Temperatura_prom,Temperatura_max,Temperatura_min,Humedad_prom
0,2013-01-01,22.40618485059057,27.6,17.5,58.591313412091736
1,2013-01-02,22.867142857142703,28.5,18.3,56.224000000000004
2,2013-01-03,22.716299559471274,28.1,19.4,61.185389133626984
3,2013-01-04,22.781180555555537,27.6,19.5,61.42673611111107
4,2013-01-05,23.241597222222197,28.9,18.8,58.70666666666672
5,2013-01-06,22.89599092284414,28.7,19.0,57.35166414523456
6,2013-01-07,22.836784938450386,28.1,17.9,53.84663287472844
7,2013-01-08,23.268333333333253,28.4,18.1,47.83763888888887
8,2013-01-09,21.712678571428533,27.8,16.7,53.7154464285715
9,2013-01-10,22.962347560975576,29.0,18.0,54.293673780487694
10,2013-01-11,23.216350364963514,29.2,18.4,55.515620437956244
11,2013-01-12,22.784264705882254,29.6,18.1,57.92242647058831
12,2013-01-13,21.45081967213116,24.9,19.4,63.17406855439651
13,2013-01-14,21.621736111111055,26.7,19.0,64.78291666666675
14,2013-01-15,20.851650770359406,24.0,18.9,66.40601614086572
15,2013-01-16,21.139984825493137,25.0,18.8,67.322230652504
16,2013-01-17,21.81383055756698,26.5,19.1,63.91383055756714
17,2013-01-18,21.580364212193224,27.2,18.8,66.07173396674588
18,2013-01-19,21.77451388888878,27.4,18.3,63.57534722222222
19,2013-01-20,21.355208333333344,25.5,19.5,69.33680555555557
20,2013-01-21,22.020419985517776,27.2,18.7,70.18631426502527
21,2013-01-22,22.08484126984125,27.4,18.8,68.52785714285717
22,2013-01-23,21.97979724837073,27.2,19.4,67.27487328023172
23,2013-01-24,21.896813902968923,26.9,19.3,66.66792179580013
24,2013-01-25,21.186874999999972,24.6,18.8,67.0316666666667
25,2013-01-26,21.287617668356265,26.3,18.0,65.46799420709632
26,2013-01-27,22.907487753673706,28.0,19.0,62.63897830650808
27,2013-01-28,23.77764441110269,29.5,19.4,57.68949737434359
28,2013-01-29,23.10224475018089,28.7,18.8,63.43779869659683
29,2013-01-30,23.047646632874663,27.9,20.0,65.04699493120927
30,2013-01-31,22.55027777777774,27.3,19.1,64.94381944444451
31,2013-02-01,20.535763888888997,25.4,17.5,69.43604166666671
32,2013-02-02,19.012361111111193,22.7,17.5,80.6572222222223
33,2013-02-03,19.76326388888884,27.1,17.5,78.42576388888888
34,2013-02-04,20.928749999999916,27.0,17.4,69.71006944444453
35,2013-02-05,20.462430555555656,25.6,18.7,72.20840277777788
36,2013-02-06,20.69277777777778,26.1,17.6,70.41513888888893
37,2013-02-07,21.954957507082185,27.3,18.1,63.93286118980174
38,2013-02-08,20.263385269121823,27.1,17.8,75.33364022662899
39,2013-02-09,21.336874999999996,27.2,17.0,65.08756944444427
40,2013-02-10,19.61770833333332,24.3,16.9,73.26229166666675
41,2013-02-11,20.572708333333324,27.0,18.1,68.02041666666659
42,2013-02-12,20.811666666666707,27.0,17.5,63.6949305555556
43,2013-02-13,20.961736111111126,27.2,16.8,61.574791666666876
44,2013-02-14,20.580000000000013,24.2,17.5,66.24513888888887
45,2013-02-15,21.502638888888832,27.2,17.5,61.87854166666672
46,2013-02-16,22.302013888888755,27.2,19.0,64.75250000000011
47,2013-02-17,20.137361111111105,22.4,18.0,69.97111111111124
48,2013-02-18,22.01486111111108,28.0,17.9,60.28604166666673
49,2013-02-19,22.862708333333234,28.1,18.0,58.8304166666667
50,2013-02-20,22.90540730337069,27.5,19.9,55.73497191011229
51,2013-02-21,22.178888888888928,25.7,19.4,65.51868055555555
52,2013-02-22,22.479513888888846,27.2,18.0,65.51548611111113
53,2013-02-23,23.4961565338923,28.6,19.4,62.421872816212456
54,2013-02-24,22.04145833333328,27.1,18.5,68.90701388888881
55,2013-02-25,23.048263888888734,28.2,18.5,60.642916666666565
56,2013-02-26,22.10032599836993,28.5,19.5,70.2534637326813
57,2013-02-27,22.778650904033352,28.6,18.0,64.62399165507655
58,2013-02-28,22.7050069541029,27.2,19.0,65.35187760778854
59,2013-03-01,21.58243055555559,26.4,17.6,67.62534722222225
60,2013-03-02,22.91084086170943,28.0,18.3,60.73259207783175
61,2013-03-03,21.88426183844005,25.6,19.2,65.33906685236748
62,2013-03-04,21.532592077831875,25.9,18.2,69.20430854760258
63,2013-03-05,23.44763560500687,29.3,19.1,61.16369958275374
64,2013-03-06,23.344436668999116,28.1,20.0,61.18845346396076
65,2013-03-07,22.728998609179353,27.2,19.5,64.87253129346327
66,2013-03-08,23.715208333333234,28.7,20.0,59.260555555555555
67,2013-03-09,23.972878998609215,29.5,19.5,58.97350486787206
68,2013-03-10,23.45611961057019,28.0,19.7,62.58164116828933
69,2013-03-11,23.500348675034736,27.8,19.4,61.57719665271958
70,2013-03-12,22.733472803347276,27.2,19.6,61.92663877266378
71,2013-03-13,22.02975438596488,27.2,19.4,68.43235087719295
72,2013-03-14,20.94686192468634,26.1,19.1,74.38967921896779
73,2013-03-15,20.92270833333329,25.8,18.6,70.60819444444463
74,2013-03-16,22.54853760445678,28.4,18.0,64.11956824512549
75,2013-03-17,21.387204450625834,27.8,17.8,70.47079276773293
76,2013-03-18,20.22503477051454,25.8,17.2,72.62621696801124
77,2013-03-19,21.32680555555561,25.5,18.5,69.730625
78,2013-03-20,21.80347947112038,28.5,18.3,67.6347251217814
79,2013-03-21,19.747083333333304,23.9,17.1,79.23062499999995
80,2013-03-22,21.005857740585807,27.1,0.0,70.91449477351918
81,2013-03-23,21.738900487125928,27.0,19.0,67.32435629784277
82,2013-03-24,22.449965205288688,28.2,18.2,61.15093945720248
83,2013-03-25,22.179415855354726,30.0,18.6,66.34353268428372
84,2013-03-26,23.12409722222223,28.9,19.0,58.44118055555559
85,2013-03-27,22.50062761506278,26.9,19.9,62.46924686192471
86,2013-03-28,22.46661991584855,28.3,18.7,61.695021037868145
87,2013-03-29,21.893537178596226,26.5,18.9,67.64551772063932
88,2013-03-30,22.87375000000001,27.5,19.0,61.096111111111014
89,2013-03-31,23.968311327310587,29.6,19.5,60.04141765114655
90,2013-04-01,24.207708333333343,28.2,20.0,55.4446527777778
91,2013-04-02,22.350660180680986,28.2,18.1,65.15170257123005
92,2013-04-03,22.708200138985404,27.6,19.7,63.174496177901226
93,2013-04-04,23.12694444444452,28.6,18.8,60.20972222222228
94,2013-04-05,22.87345378735236,29.4,20.0,63.41466296038923
95,2013-04-06,22.658860319666534,28.2,19.6,62.51021542738016
96,2013-04-07,23.23375000000004,28.9,19.6,61.54368055555554
97,2013-04-08,22.098971722365047,27.5,0.0,63.88586118251926
98,2013-04-09,26.136430317848426,30.6,0.0,50.522860635696865
99,2013-04-10,22.77914923291486,27.4,20.7,65.74979079497903
100,2013-04-11,21.80605849582169,29.6,17.1,69.19958217270197
101,2013-04-12,22.942976939203298,27.2,19.8,67.18392732354995
102,2013-04-13,23.757302585604386,29.4,19.7,62.12865129280214
103,2013-04-14,23.047489539748995,27.8,20.0,67.03131101813109
104,2013-04-15,22.66761838440113,29.0,19.5,68.50626740947068
105,2013-04-16,23.641225626740876,30.4,18.6,61.62096100278549
106,2013-04-17,22.612925642807415,27.8,19.4,64.36358582348853
107,2013-04-18,20.374513888888863,26.7,17.4,74.81902777777779
108,2013-04-19,19.765478686233525,24.8,17.5,74.52774283717667
109,2013-04-20,19.9240277777778,27.2,17.0,71.54805555555551
110,2013-04-21,20.100557103064023,24.5,17.2,75.1772284122564
111,2013-04-22,21.060875608061114,28.0,18.1,71.24899235580256
112,2013-04-23,21.822569444444415,27.8,18.0,67.03993055555557
113,2013-04-24,22.09318497913774,28.5,18.3,65.53685674547984
114,2013-04-25,22.645321229050264,28.4,18.1,63.684567039106156
115,2013-04-26,20.91010526315787,27.4,17.6,69.23501754385967
116,2013-04-27,20.832430555555582,27.1,16.9,68.3022222222223
117,2013-04-28,21.251319444444444,27.7,18.6,68.41645833333327
118,2013-04-29,20.24819444444443,22.8,17.3,74.74541666666659
119,2013-04-30,21.14027777777773,27.8,17.4,71.34631944444435
120,2013-05-01,20.76479166666666,25.3,18.5,74.2654166666666
121,2013-05-02,20.762666666666593,25.6,18.9,72.72336842105257
122,2013-05-03,21.056066945606723,26.6,16.9,68.13682008368207
123,2013-05-04,21.159638135003476,29.0,17.3,68.05859429366737
124,2013-05-05,19.47752965805997,26.0,16.8,76.86748080949056
125,2013-05-06,20.789832869080758,25.1,17.2,68.08850974930361
126,2013-05-07,19.852878464818808,24.4,18.1,76.6922530206113
127,2013-05-08,21.42871080139372,27.0,17.3,69.40606271776994
128,2013-05-09,21.902721563154255,27.8,18.3,66.61884159106754
129,2013-05-10,21.402990264255898,26.0,17.2,69.88310152990249
130,2013-05-11,22.361736111111053,27.4,19.0,68.78111111111102
131,2013-05-12,22.798333333333286,27.8,18.4,64.82291666666676
132,2013-05-13,21.887916666666634,27.3,18.7,70.1829166666667
133,2013-05-14,22.921180555555534,28.6,19.3,66.16694444444452
134,2013-05-15,20.289477401129933,25.7,18.4,76.7102401129943
135,2013-05-16,20.749511854951212,27.4,18.4,72.95913528591365
136,2013-05-17,20.114513888888887,23.7,17.3,77.08138888888892
137,2013-05-18,22.013273106323915,28.6,18.5,70.20319666435024
138,2013-05-19,23.181111111111043,29.5,19.1,66.29006944444441
139,2013-05-20,20.90229166666667,25.6,17.8,72.09486111111103
140,2013-05-21,20.122916666666633,27.8,17.5,77.92604166666679
141,2013-05-22,19.77715277777782,26.0,16.0,77.83104166666683
142,2013-05-23,19.877083333333363,26.2,16.7,76.53527777777776
143,2013-05-24,21.010625000000044,26.7,16.6,71.21951388888888
144,2013-05-25,22.36486111111107,27.3,18.0,65.79138888888885
145,2013-05-26,21.756111111111178,27.3,18.6,68.51131944444448
146,2013-05-27,21.96791666666668,29.1,19.3,68.4860416666667
147,2013-05-28,21.25222222222223,27.0,18.3,68.06256944444448
148,2013-05-29,20.388333333333257,24.4,17.6,73.6194444444444
149,2013-05-30,20.476805555555508,26.1,17.5,73.47020833333343
150,2013-05-31,20.012222222222174,24.7,16.9,74.96479166666663
151,2013-06-01,20.516458333333308,28.9,16.8,71.47909722222228
152,2013-06-02,22.66548611111115,28.7,18.2,61.542708333333316
153,2013-06-03,23.08219749652293,28.6,18.9,56.84784422809466
154,2013-06-04,23.514315496872715,28.6,18.4,49.13697011813749
155,2013-06-05,22.58187499999998,27.9,17.9,53.164930555555515
156,2013-06-06,21.598680555555536,26.6,18.4,64.04437500000003
157,2013-06-07,22.755624999999984,28.5,17.8,59.48486111111114
158,2013-06-08,23.30218772053627,28.4,18.1,53.697106563161654
159,2013-06-09,23.47438672438674,28.7,18.4,52.85295815295811
160,2013-06-10,23.102698650674707,28.7,19.6,58.32616191904047
161,2013-06-11,21.856598240469225,28.0,18.6,66.49362170087974
162,2013-06-12,20.83389679715295,28.1,17.5,74.00169039145901
163,2013-06-13,22.55629784272786,28.9,17.6,65.63305497564367
164,2013-06-14,21.351716888577457,26.8,18.1,70.99712683952343
165,2013-06-15,21.537964912280753,27.4,17.9,70.92666666666652
166,2013-06-16,22.654065323141044,29.3,17.0,62.939610840861654
167,2013-06-17,22.580624999999895,28.4,18.2,66.96152777777773
168,2013-06-18,22.6285615010424,28.8,17.9,66.56379430159835
169,2013-06-19,22.608547602501734,27.4,19.6,63.89972202918693
170,2013-06-20,23.06576388888887,28.0,18.7,58.81993055555555
171,2013-06-21,23.04055555555557,28.7,18.2,59.37319444444453
172,2013-06-22,23.190277777777727,28.6,19.7,61.804930555555465
173,2013-06-23,23.552222222222266,29.4,19.2,59.01215277777781
174,2013-06-24,20.997291666666634,27.8,16.7,66.3651388888889
175,2013-06-25,21.111821974965167,26.5,16.7,68.9289290681502
176,2013-06-26,23.224583333333285,28.9,18.2,61.76013888888879
177,2013-06-27,22.109513888888873,27.5,18.8,68.74208333333334
178,2013-06-28,19.98312324929971,24.2,16.1,68.63095238095262
179,2013-06-29,21.009527121001405,24.9,17.8,66.70146036161333
180,2013-06-30,20.45604166666668,25.2,16.2,69.8602083333333
181,2013-07-01,19.442638888888897,24.2,17.0,73.23659722222226
182,2013-07-02,21.470486111111097,28.3,15.8,61.82187500000002
183,2013-07-03,21.193958333333324,25.2,18.9,65.78090277777773
184,2013-07-04,21.013472222222227,25.9,16.1,63.34555555555553
185,2013-07-05,20.483958333333337,24.4,17.9,66.2100694444446
186,2013-07-06,22.21640027797082,28.1,17.1,59.93321751216117
187,2013-07-07,22.341278665740095,28.6,17.0,56.60291869353719
188,2013-07-08,21.99729166666667,28.4,15.8,56.64131944444444
189,2013-07-09,22.08423611111111,27.5,17.1,59.48333333333334
190,2013-07-10,22.46486111111116,27.5,19.0,59.32416666666673
191,2013-07-11,22.278760445682465,27.5,18.4,60.63593314763237
192,2013-07-12,22.215763888888873,27.3,18.1,59.246527777777736
193,2013-07-13,22.137064492216467,27.8,17.9,58.694736842105186
194,2013-07-14,22.37572580645162,28.9,18.2,59.65870967741931
195,2013-07-15,21.79246771879488,26.0,18.7,61.91987087517929
196,2013-07-16,23.25599435825107,29.1,17.2,53.84696755994348
197,2013-07-17,23.54689807976366,28.9,19.0,53.33353028064989
198,2013-07-18,23.073478587528164,27.9,18.3,55.240796393688925
199,2013-07-19,21.567691208005744,26.8,18.2,66.08263045032162
200,2013-07-20,21.918586572438116,26.3,18.7,63.52671378091873
201,2013-07-21,23.290233545647542,28.5,18.3,57.06617126680812
202,2013-07-22,21.91653255303586,27.3,18.3,66.23474762253109
203,2013-07-23,22.548122605363957,28.1,17.7,57.88229885057463
204,2013-07-24,23.461771217712187,29.5,18.0,50.02391143911436
205,2013-07-25,23.918464880521366,29.1,18.4,49.0258508327299
206,2013-07-26,22.45387840670856,27.6,18.9,56.14730957372465
207,2013-07-27,22.667180925666173,29.1,17.1,51.58920056100975
208,2013-07-28,23.647394366197204,28.5,18.4,43.4816197183099
209,2013-07-29,23.994088669950774,28.8,19.7,42.87121745249815
210,2013-07-30,22.641987403778764,26.8,19.3,52.88012596221135
211,2013-07-31,23.168204053109747,29.3,18.2,56.805800139762496
212,2013-08-01,21.55800561797754,28.1,17.5,65.97148876404508
213,2013-08-02,20.922791023842922,26.9,15.9,66.62657784011218
214,2013-08-03,22.35696291112663,28.5,16.5,58.80188943316998
215,2013-08-04,23.577482517482483,28.9,18.0,51.20174825174826
216,2013-08-05,22.87036516853935,28.7,18.1,58.035744382022415
217,2013-08-06,22.180822981366454,27.1,18.7,60.390062111801136
218,2013-08-07,21.226190476190435,26.0,18.7,69.43319327731098
219,2013-08-08,20.14471544715444,23.4,16.5,73.86219512195132
220,2013-08-09,20.31375698324025,27.3,15.9,65.11382681564237
