AÑO_ACCIDENTE,MES_ACCIDENTE,CLASE ACCIDENTE,SERVICIO_VEHICULO_ACCIDENTADO,CLASE_VEHICULO_ACCIDENTADO,CANTIDAD_VEHICULOS
2015,1,Atropello,PARTICULAR,AUTOMOVIL,3
2015,1,Atropello,PARTICULAR,MOTOCICLETA,5
2015,1,Atropello,PUBLICO,AUTOMOVIL,2
2015,1,Atropello,PUBLICO,BUS,1
2015,1,Atropello,PUBLICO,BUSETA,1
2015,1,Caida Ocupante,PUBLICO,BUS,1
2015,1,Caida Ocupante,PUBLICO,MICROBUS,1
2015,1,Choque,DIPLOMATICO,AUTOMOVIL,1
2015,1,Choque,DIPLOMATICO,CAMPERO,1
2015,1,Choque,OFICIAL,CAMPERO,1
2015,1,Choque,OFICIAL,MOTOCICLETA,1
2015,1,Choque,PARTICULAR,AUTOMOVIL,275
2015,1,Choque,PARTICULAR,BUS,1
2015,1,Choque,PARTICULAR,CAMION,11
2015,1,Choque,PARTICULAR,CAMIONETA,90
2015,1,Choque,PARTICULAR,CAMPERO,33
2015,1,Choque,PARTICULAR,MICROBUS,1
2015,1,Choque,PARTICULAR,MOTOCARRO,2
2015,1,Choque,PARTICULAR,MOTOCICLETA,92
2015,1,Choque,PARTICULAR,TRACCION ANIMAL,1
2015,1,Choque,PARTICULAR,VOLQUETA,1
2015,1,Choque,PARTICULAR,BICICLETA O TRICICLO,5
2015,1,Choque,PUBLICO,AUTOMOVIL,164
2015,1,Choque,PUBLICO,BUS,35
2015,1,Choque,PUBLICO,BUSETA,25
2015,1,Choque,PUBLICO,CAMION,33
2015,1,Choque,PUBLICO,CAMIONETA,16
2015,1,Choque,PUBLICO,CAMPERO,2
2015,1,Choque,PUBLICO,MICROBUS,14
2015,1,Choque,PUBLICO,TRACTO/CAMION,12
2015,1,Choque,PUBLICO,VOLQUETA,6
2015,1,Otro,PARTICULAR,AUTOMOVIL,1
2015,1,Otro,PARTICULAR,MOTOCICLETA,1
2015,1,Volcamiento,OFICIAL,MOTOCICLETA,1
2015,1,Volcamiento,PARTICULAR,AUTOMOVIL,1
2015,1,Volcamiento,PARTICULAR,MOTOCICLETA,1
2015,2,Atropello,OFICIAL,MOTOCICLETA,2
2015,2,Atropello,PARTICULAR,AUTOMOVIL,3
2015,2,Atropello,PARTICULAR,CAMIONETA,2
2015,2,Atropello,PARTICULAR,MOTOCICLETA,7
2015,2,Atropello,PUBLICO,AUTOMOVIL,2
2015,2,Atropello,PUBLICO,BUS,1
2015,2,Atropello,PUBLICO,MICROBUS,1
2015,2,Atropello,PUBLICO,TRACTO/CAMION,2
2015,2,Choque,OFICIAL,AUTOMOVIL,1
2015,2,Choque,OFICIAL,CAMIONETA,1
2015,2,Choque,OFICIAL,CAMPERO,2
2015,2,Choque,OFICIAL,MOTOCICLETA,9
2015,2,Choque,OTROS,OTROS,1
2015,2,Choque,PARTICULAR,AUTOMOVIL,302
2015,2,Choque,PARTICULAR,BUS,1
2015,2,Choque,PARTICULAR,CAMION,7
2015,2,Choque,PARTICULAR,CAMIONETA,93
2015,2,Choque,PARTICULAR,CAMPERO,32
2015,2,Choque,PARTICULAR,MICROBUS,1
2015,2,Choque,PARTICULAR,MOTOCARRO,1
2015,2,Choque,PARTICULAR,MOTOCICLETA,104
2015,2,Choque,PARTICULAR,TRACTO/CAMION,2
2015,2,Choque,PARTICULAR,VOLQUETA,3
