AÑO_ACCIDENTE,MES_ACCIDENTE,CONDICION_VICTIMA,GRAVEDAD_ACCIDENTE,CLASE_ACCIDENTE,SEXO_VICTIMA,EDAD_VICTIMA,CANTIDAD_VICTIMAS
2015,1,Acompañante,herido,Choque,F,37,1
2015,1,Acompañante,herido,Choque,F,62,1
2015,1,Acompañante,herido,Choque,F,13,1
2015,1,Acompañante,herido,Choque,M,36,1
2015,1,Acompañante,herido,Choque,M,66,1
2015,1,Conductor,herido,Choque,F,34,1
2015,1,Conductor,herido,Choque,M,38,1
2015,1,Conductor,herido,Choque,M,27,1
2015,1,Conductor,herido,Choque,M,49,1
2015,1,Conductor,herido,Choque,M,28,1
2015,1,Conductor,herido,Choque,M,55,1
2015,1,Conductor,herido,Choque,M,54,1
2015,1,Conductor,herido,Choque,M,12,1
2015,1,Motociclista,herido,Atropello,F,64,1
2015,1,Motociclista,herido,Atropello,M,46,1
2015,1,Motociclista,herido,Atropello,M,38,1
2015,1,Motociclista,herido,Atropello,M,41,1
2015,1,Motociclista,herido,Atropello,M,26,1
2015,1,Motociclista,herido,Choque,F,37,1
2015,1,Motociclista,herido,Choque,F,35,1
2015,1,Motociclista,herido,Choque,M,33,2
2015,1,Motociclista,herido,Choque,M,34,1
2015,1,Motociclista,herido,Choque,M,38,1
2015,1,Motociclista,herido,Choque,M,36,1
2015,1,Motociclista,herido,Choque,M,30,2
2015,1,Motociclista,herido,Choque,M,27,1
2015,1,Motociclista,herido,Choque,M,41,1
2015,1,Motociclista,herido,Choque,M,40,2
2015,1,Motociclista,herido,Choque,M,35,4
2015,1,Motociclista,herido,Choque,M,56,1
2015,1,Motociclista,herido,Choque,M,43,1
2015,1,Motociclista,herido,Choque,M,31,2
2015,1,Motociclista,herido,Choque,M,26,1
2015,1,Motociclista,herido,Choque,M,55,1
2015,1,Motociclista,herido,Choque,M,44,1
2015,1,Motociclista,herido,Choque,M,39,2
2015,1,Motociclista,herido,Choque,M,48,1
2015,1,Motociclista,herido,Choque,M,53,1
2015,1,Motociclista,herido,Volcamiento,M,39,1
2015,1,Motociclista,muerto,Choque,M,41,1
2015,1,Pasajero,herido,Caida Ocupante,M,35,1
2015,1,Pasajero,herido,Caida Ocupante,M,8,1
2015,1,Pasajero,herido,Choque,F,40,1
2015,1,Pasajero,herido,Choque,F,31,2
2015,1,Pasajero,herido,Choque,F,26,1
2015,1,Pasajero,herido,Choque,F,12,1
2015,1,Pasajero,herido,Choque,M,50,1
2015,1,Pasajero,herido,Choque,M,46,1
2015,1,Pasajero,herido,Choque,M,25,1
2015,1,Pasajero,herido,Choque,M,36,1
2015,1,Pasajero,herido,Choque,M,35,1
2015,1,Pasajero,herido,Choque,M,42,1
2015,1,Pasajero,herido,Choque,M,31,1
2015,1,Pasajero,herido,Choque,M,44,1
2015,1,Pasajero,herido,Choque,M,54,1
2015,1,Pasajero,herido,Choque,M,53,1
2015,1,Pasajero,herido,Choque,M,82,1
2015,1,Pasajero,herido,Volcamiento,F,44,1
2015,1,Peaton,herido,Atropello,F,50,1
2015,1,Peaton,herido,Atropello,F,42,1
2015,1,Peaton,herido,Atropello,F,70,1
2015,1,Peaton,herido,Atropello,F,74,1
2015,1,Peaton,herido,Atropello,F,83,1
2015,1,Peaton,herido,Atropello,M,75,1
2015,1,Peaton,herido,Atropello,M,31,1
2015,1,Peaton,herido,Atropello,M,16,1
2015,1,Peaton,herido,Atropello,M,73,1
2015,1,Peaton,herido,Atropello,M,60,1
2015,1,Peaton,herido,Choque,M,37,1
2015,1,Peaton,herido,Choque,M,24,1
2015,1,Peaton,muerto,Atropello,M,41,1
2015,1,Peaton,muerto,Atropello,M,69,1
2015,2,Acompañante,herido,Atropello,M,32,1
2015,2,Acompañante,herido,Choque,F,57,1
2015,2,Acompañante,herido,Choque,F,20,1
2015,2,Acompañante,herido,Choque,F,24,1
2015,2,Acompañante,herido,Choque,F,17,1
2015,2,Acompañante,herido,Choque,M,27,1
2015,2,Acompañante,herido,Choque,M,41,1
2015,2,Acompañante,herido,Choque,M,39,1
2015,2,Conductor,herido,Choque,F,42,1
2015,2,Conductor,herido,Choque,M,50,1
2015,2,Conductor,herido,Choque,M,63,1
2015,2,Conductor,herido,Choque,M,44,1
2015,2,Conductor,herido,Choque,M,39,1
2015,2,Conductor,herido,Choque,M,60,1
2015,2,Motociclista,herido,Atropello,M,32,1
2015,2,Motociclista,herido,Atropello,M,30,1
2015,2,Motociclista,herido,Atropello,M,41,1
2015,2,Motociclista,herido,Atropello,M,54,1
2015,2,Motociclista,herido,Choque,F,38,1
2015,2,Motociclista,herido,Choque,F,30,1
2015,2,Motociclista,herido,Choque,F,28,1
2015,2,Motociclista,herido,Choque,F,42,1
2015,2,Motociclista,herido,Choque,F,55,1
2015,2,Motociclista,herido,Choque,F,44,1
2015,2,Motociclista,herido,Choque,M,50,1
2015,2,Motociclista,herido,Choque,M,33,1
2015,2,Motociclista,herido,Choque,M,34,1
2015,2,Motociclista,herido,Choque,M,37,1
2015,2,Motociclista,herido,Choque,M,46,1
2015,2,Motociclista,herido,Choque,M,32,1
2015,2,Motociclista,herido,Choque,M,25,1
2015,2,Motociclista,herido,Choque,M,38,1
2015,2,Motociclista,herido,Choque,M,36,2
2015,2,Motociclista,herido,Choque,M,30,1
2015,2,Motociclista,herido,Choque,M,27,1
2015,2,Motociclista,herido,Choque,M,49,2
2015,2,Motociclista,herido,Choque,M,28,1
2015,2,Motociclista,herido,Choque,M,35,1
2015,2,Motociclista,herido,Choque,M,42,1
2015,2,Motociclista,herido,Choque,M,31,2
2015,2,Motociclista,herido,Choque,M,52,1
2015,2,Motociclista,herido,Choque,M,44,1
2015,2,Motociclista,herido,Choque,M,48,1
2015,2,Motociclista,herido,Choque,M,47,2
2015,2,Motociclista,herido,Choque,M,65,1
2015,2,Motociclista,herido,Choque,M,60,1
2015,2,Motociclista,muerto,Atropello,M,47,1
2015,2,Motociclista,muerto,Choque,M,29,2
2015,2,Otros,herido,Atropello,F,13,1
2015,2,Pasajero,herido,Atropello,M,37,1
2015,2,Pasajero,herido,Atropello,M,24,1
2015,2,Pasajero,herido,Choque,F,61,1
2015,2,Pasajero,herido,Choque,F,34,1
2015,2,Pasajero,herido,Choque,F,32,2
2015,2,Pasajero,herido,Choque,F,36,1
2015,2,Pasajero,herido,Choque,F,27,2
2015,2,Pasajero,herido,Choque,F,41,1
2015,2,Pasajero,herido,Choque,F,45,1
2015,2,Pasajero,herido,Choque,F,35,1
2015,2,Pasajero,herido,Choque,F,31,1
2015,2,Pasajero,herido,Choque,F,12,1
2015,2,Pasajero,herido,Choque,M,22,1
2015,2,Pasajero,herido,Choque,M,39,2
2015,2,Peaton,herido,Atropello,F,28,1
2015,2,Peaton,herido,Atropello,F,43,1
2015,2,Peaton,herido,Atropello,F,26,1
2015,2,Peaton,herido,Atropello,F,18,1
2015,2,Peaton,herido,Atropello,F,16,1
2015,2,Peaton,herido,Atropello,F,66,1
2015,2,Peaton,herido,Atropello,F,72,1
2015,2,Peaton,herido,Atropello,M,36,1
2015,2,Peaton,herido,Atropello,M,27,1
2015,2,Peaton,herido,Atropello,M,45,1
2015,2,Peaton,herido,Atropello,M,40,1
2015,2,Peaton,herido,Atropello,M,35,1
2015,2,Peaton,herido,Atropello,M,43,1
2015,2,Peaton,herido,Atropello,M,76,1
2015,2,Peaton,herido,Atropello,M,66,1
2015,2,Peaton,herido,Atropello,M,54,2
2015,2,Peaton,herido,Atropello,M,17,1
2015,2,Peaton,herido,Atropello,M,92,1
2015,2,Peaton,muerto,Atropello,F,42,1
2015,3,Acompañante,herido,Caida Ocupante,M,11,1
2015,3,Acompañante,herido,Choque,F,33,1
2015,3,Acompañante,herido,Choque,F,25,1
2015,3,Acompañante,herido,Choque,F,26,1
2015,3,Acompañante,herido,Choque,F,39,1
2015,3,Acompañante,herido,Choque,F,21,1
2015,3,Acompañante,herido,Choque,M,23,1
2015,3,Acompañante,herido,Choque,M,32,1
2015,3,Acompañante,herido,Choque,M,29,1
2015,3,Acompañante,muerto,Choque,M,43,1
2015,3,Ciclista,herido,Choque,M,62,1
2015,3,Conductor,herido,Choque,F,62,1
2015,3,Conductor,herido,Choque,M,37,1
2015,3,Conductor,herido,Choque,M,32,1
2015,3,Conductor,herido,Choque,M,38,1
2015,3,Conductor,herido,Choque,M,45,1
2015,3,Conductor,herido,Choque,M,63,1
2015,3,Conductor,herido,Choque,M,62,1
2015,3,Motociclista,herido,Atropello,M,30,1
2015,3,Motociclista,herido,Atropello,M,24,1
2015,3,Motociclista,herido,Choque,F,45,1
2015,3,Motociclista,herido,Choque,M,33,3
2015,3,Motociclista,herido,Choque,M,61,2
2015,3,Motociclista,herido,Choque,M,34,2
2015,3,Motociclista,herido,Choque,M,37,1
2015,3,Motociclista,herido,Choque,M,23,1
2015,3,Motociclista,herido,Choque,M,46,1
2015,3,Motociclista,herido,Choque,M,32,2
2015,3,Motociclista,herido,Choque,M,57,1
2015,3,Motociclista,herido,Choque,M,25,2
2015,3,Motociclista,herido,Choque,M,38,2
2015,3,Motociclista,herido,Choque,M,36,1
2015,3,Motociclista,herido,Choque,M,30,2
2015,3,Motociclista,herido,Choque,M,24,1
2015,3,Motociclista,herido,Choque,M,28,4
2015,3,Motociclista,herido,Choque,M,62,1
2015,3,Motociclista,herido,Choque,M,40,3
2015,3,Motociclista,herido,Choque,M,35,5
2015,3,Motociclista,herido,Choque,M,43,3
2015,3,Motociclista,herido,Choque,M,31,3
2015,3,Motociclista,herido,Choque,M,26,1
2015,3,Motociclista,herido,Choque,M,51,1
2015,3,Motociclista,herido,Choque,M,55,1
2015,3,Motociclista,herido,Choque,M,39,1
2015,3,Motociclista,herido,Choque,M,54,1
2015,3,Motociclista,herido,Choque,M,65,1
2015,3,Motociclista,herido,Choque,M,72,1
2015,3,Motociclista,herido,Choque,M,21,1
2015,3,Motociclista,herido,Otro,M,31,1
2015,3,Motociclista,muerto,Choque,M,34,1
2015,3,Pasajero,herido,Atropello,F,42,1
2015,3,Pasajero,herido,Caida Ocupante,F,57,1
2015,3,Pasajero,herido,Choque,F,33,1
2015,3,Pasajero,herido,Choque,F,34,1
2015,3,Pasajero,herido,Choque,F,23,1
2015,3,Pasajero,herido,Choque,F,40,1
2015,3,Pasajero,herido,Choque,M,33,1
2015,3,Pasajero,herido,Choque,M,22,1
2015,3,Pasajero,herido,Choque,M,61,1
2015,3,Pasajero,herido,Choque,M,23,1
2015,3,Pasajero,herido,Choque,M,46,1
2015,3,Pasajero,herido,Choque,M,25,1
